Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
11,2021/03/28 11:21:08,1320.0011,1320.0011,1,1,0,0,0,0,3.062377,0,0,0,0,0,,-0.0000112611596705392,,0,0,,,,,,,,,26.61339,-0.0824517,25,0,26.29393,0.02648413
12,2021/03/28 11:23:08,1440.0002,1440.0002,1,1,0,0,0,0,3.062133,0,0,0,0,0,,0.000023155880626291,,0,0,,,,,,,,,26.7337,0.09437382,25,0,26.57804,0.09225428
13,2021/03/28 11:25:08,1560.0003,1560.0003,1,1,0,0,0,0,3.062308,0,0,0,0,0,,-0.00000691515106154839,,0,0,,,,,,,,,26.65621,-0.04685402,25,0,26.63575,0.03097236
14,2021/03/28 11:27:08,1680.0002,1680.0002,1,1,0,0,0,0,3.062326,0,0,0,0,0,,0.0000209813297260553,,0,0,,,,,,,,,26.79272,-0.04480481,25,0,26.63709,0.05303144
15,2021/03/28 11:29:08,1800.0011,1800.0011,1,1,0,0,0,0,3.062425,0,0,0,0,0,,0.00000975959392235382,,0,0,,,,,,,,,26.43255,-0.0567627,25,0,26.26255,-0.1301783
16,2021/03/28 11:31:08,1920.0003,1920.0003,1,1,0,0,0,0,3.062519,0,0,0,0,0,,-0.00002350995055167,,0,0,,,,,,,,,26.96439,0.01869142,25,0,26.56688,0.05430102
17,2021/03/28 11:33:08,2040.0003,2040.0003,1,1,0,0,0,0,3.062326,0,0,0,0,0,,0.0000284095094684744,,0,0,,,,,,,,,26.87371,0.006775856,25,0,26.66829,0.0979805
18,2021/03/28 11:35:08,2160.0002,2160.0002,1,1,0,0,0,0,3.062631,0,0,0,0,0,,0.0000393518712371588,,0,0,,,,,,,,,26.64862,-0.07847011,25,0,26.54988,0.02825677
19,2021/03/28 11:37:08,2280.0003,2280.0003,1,1,0,0,0,0,3.06235,0,0,0,0,0,,-0.00000470195209345547,,0,0,,,,,,,,,26.85398,-0.02763271,25,0,26.71259,0.08800328
20,2021/03/28 11:39:08,2400.0002,2400.0002,1,1,0,0,0,0,3.062608,0,0,0,0,0,,0.00000798152996139834,,0,0,,,,,,,,,26.61208,-0.1133764,25,0,26.27126,-0.1090086
21,2021/03/28 11:41:08,2520.001,2520.001,1,1,0,0,0,0,3.062493,0,0,0,0,0,,-0.00000730981719243573,,0,0,,,,,,,,,26.51244,-0.1574421,25,0,26.42079,-0.02406597
22,2021/03/28 11:43:08,2640.0011,2640.0011,1,1,0,0,0,0,3.06259,0,0,0,0,0,,-0.0000170299008459551,,0,0,,,,,,,,,26.93318,0.1272345,25,0,26.53565,0.04499614
23,2021/03/28 11:45:08,2760.0002,2760.0002,1,1,0,0,0,0,3.062653,0,0,0,0,0,,0.00000533419097337173,,0,0,,,,,,,,,26.9225,0.1082885,25,0,26.69576,0.1127905
24,2021/03/28 11:47:08,2880.0003,2880.0003,1,1,0,0,0,0,3.062631,0,0,0,0,0,,0.0000228794597205706,,0,0,,,,,,,,,26.47573,-0.1341099,25,0,26.23453,-0.09192348
25,2021/03/28 11:49:08,3000.0005,3000.0005,1,1,0,0,0,0,3.062706,0,0,0,0,0,,-0.000018729089788394,,0,0,,,,,,,,,26.84911,0.1085478,25,0,26.64367,0.09079218
26,2021/03/28 11:51:08,3120.0014,3120.0014,1,1,0,0,0,0,3.062662,0,0,0,0,0,,-0.000011971599633398,,0,0,,,,,,,,,26.79739,0.04612982,25,0,26.64886,0.1529533
27,2021/03/28 11:53:08,3240.0013,3240.0013,1,1,0,0,0,0,3.062763,0,0,0,0,0,,-0.0000102329795481637,,0,0,,,,,,,,,26.76374,0.05559862,25,0,26.47158,-0.06230533
28,2021/03/28 11:55:08,3360.0006,3360.0006,1,1,0,0,0,0,3.062823,0,0,0,0,0,,0.0000121303501146031,,0,0,,,,,,,,,26.5825,-0.1045781,25,0,26.09207,-0.07568479
29,2021/03/28 11:57:08,3480.0009,3480.0009,1,1,0,0,0,0,3.062607,0,0,0,0,0,,0.000024339720766875,,0,0,,,,,,,,,26.43849,0.00004887581,25,0,26.38954,0.1157397
30,2021/03/28 11:59:08,3600.001,3600.001,1,1,0,0,0,0,3.062867,0,0,0,0,0,,-0.000000987739440461155,,0,0,,,,,,,,,26.86785,0.1111972,25,0,26.58414,-0.008901954
31,2021/03/28 11:59:08,3600.0024,3600.0024,1,1,0,0,0,0,3.062844,0,0,0,0,0,,-0.000000987739440461155,0,0,0,,,,,,,,,26.86785,0.1111972,25,0,26.58414,-0.008901954
32,2021/03/28 11:59:13,3605.0418,5.0001,1,2,0,0,0,1.499962,3.137411,4.705997278382,0.001958906,0.0000273694,0.006123776,0.00008380872,,0.00388972694054246,,0.100081399083138,9.71064376831055,,,,,,,,,26.84119,0.1193196,25,0,26.49341,0.04595995
33,2021/03/28 11:59:18,3610.0418,10.0001,1,2,0,0,0,1.500504,3.153018,4.731116121072,0.00404014,0.0000273694,0.01267018,0.00008380872,,0.00277099199593067,,0.131547302007675,8.07046604156494,,,,,,,,,26.85333,0.0683111,25,0,26.48421,0.1151061
34,2021/03/28 11:59:23,3615.0419,15.0002,1,2,0,0,0,1.500336,3.166443,4.750728424848,0.00612093,0.0000273694,0.01924535,0.00008380872,,0.00279154302552342,,0.154662698507309,6.58117008209229,,,,,,,,,26.78835,0.08188069,25,0,26.56154,-0.03155828
35,2021/03/28 11:59:28,3620.0426,20.0009,1,2,0,0,0,1.500465,3.17868,4.7694980862,0.008202142,0.0000273694,0.02584858,0.00008380872,,0.0024140439927578,,0.165824696421623,5.91270399093628,,,,,,,,,26.69291,0.07247329,25,0,26.58706,0.1392567
36,2021/03/28 11:59:33,3625.0426,25.0009,1,2,0,0,0,1.500237,3.190042,4.785819039954,0.01028336,0.0000273694,0.03247616,0.00008380872,,0.00242966902442276,,0.193871200084686,5.6815710067749,,,,,,,,,26.67176,-0.06122828,25,0,26.62283,0.07887602
37,2021/03/28 11:59:38,3630.0425,30.0008,1,2,0,0,0,1.500175,3.200333,4.801059558275,0.01236487,0.0000273694,0.03912715,0.00008380872,,0.00239072111435235,,0.197213098406792,5.07534790039063,,,,,,,,,26.62855,0.1025915,25,0,26.51557,0.06706834
38,2021/03/28 11:59:43,3635.042,35.0003,1,2,0,0,0,1.500107,3.209957,4.815278965399,0.01444522,0.0000273694,0.04579523,0.00008380872,,0.0020185390021652,,0.218608006834984,4.81493186950684,,,,,,,,,26.71945,0.08587658,25,0,26.60649,0.1526666
39,2021/03/28 11:59:48,3640.0427,40.001,1,2,0,0,0,1.500046,3.219146,4.828867080716,0.01652702,0.0000273694,0.05248743,0.00008380872,,0.00179762905463576,,0.236685797572136,4.49360704421997,,,,,,,,,26.74272,-0.004397631,25,0,26.58706,0.1023883
40,2021/03/28 11:59:53,3645.0426,45.0009,1,2,0,0,0,1.500175,3.227757,4.842200357475,0.01860852,0.0000273694,0.05919701,0.00008380872,,0.00198621698655188,,0.238731399178505,4.22037982940674,,,,,,,,,26.69455,0.09901941,25,0,26.51752,0.005615354
41,2021/03/28 11:59:58,3650.0418,50.0001,1,2,0,0,0,1.500252,3.235715,4.85438790018,0.02068936,0.0000273694,0.06592185,0.00008380872,,0.00152950594201684,,0.264908790588379,3.92917108535767,,,,,,,,,26.76701,0.1104498,25,0,26.51171,0.06376743
42,2021/03/28 12:00:03,3655.0417,55,1,2,0,0,0,1.500404,3.243443,4.866474850972,0.02276923,0.0000273694,0.07265986,0.00008380872,,0.00128690502606332,,0.256093114614487,,,,,,,,,,26.82828,0.1214468,25,0,26.3737,0.06590426
43,2021/03/28 12:00:08,3660.0419,60.0002,1,2,0,0,0,1.500603,3.250762,4.878103209486,0.02485131,0.0000273694,0.07942059,0.00008380872,,0.00150417897384614,,0.275068789720535,3.60864591598511,,,,,,,,,26.64797,-0.07164299,25,0,26.15049,-0.1161504
44,2021/03/28 12:00:13,3665.0417,65,1,2,0,0,0,1.500298,3.257769,4.887624315162,0.02693173,0.0000273694,0.08619076,0.00008380872,,0.0014636559644714,,0.295507788658142,3.4948410987854,,,,,,,,,26.48736,-0.06681979,25,0,26.12507,-0.1402825
45,2021/03/28 12:00:18,3670.0425,70.0008,1,2,0,0,0,1.500275,3.264283,4.897322177825,0.0290137,0.0000273694,0.09298007,0.00008380872,,0.00131279497873038,,0.319090604782104,,,,,,,,,,26.42345,-0.009851456,25,0,26.16085,-0.1099879
46,2021/03/28 12:00:23,3675.0419,75.0002,1,2,0,0,0,1.500465,3.270565,4.907368312725,0.0310944,0.0000273694,0.09977891,0.00008380872,,0.00126120005734265,,0.323627114295959,3.18356108665466,,,,,,,,,26.38477,-0.0788188,25,0,26.25037,0.04792929
47,2021/03/28 12:00:28,3680.042,80.0003,1,2,0,0,0,1.500351,3.276935,4.916552704185,0.0331756,0.0000273694,0.1065923,0.00008380872,,0.00129954202566296,,0.33498939871788,3.02055692672729,,,,,,,,,26.36534,-0.142495,25,0,26.35199,0.006514788
48,2021/03/28 12:00:33,3685.0418,85.0001,1,2,0,0,0,1.500259,3.282723,4.924934725257,0.03525659,0.0000273694,0.1134175,0.00008380872,,0.00122573203407228,,0.352609187364578,,,,,,,,,,26.39901,-0.1150984,25,0,26.38566,-0.07507741
49,2021/03/28 12:00:38,3690.0418,90.0001,1,2,0,0,0,1.500404,3.288316,4.933802479664,0.03733728,0.0000273694,0.1202538,0.00008380872,,0.00113191700074822,,0.350772500038147,2.82856297492981,,,,,,,,,26.40193,0.02128243,25,0,26.43129,0.0947243
50,2021/03/28 12:00:43,3695.0428,95.0011,1,2,0,0,0,1.500526,3.293763,4.942377019338,0.03941817,0.0000273694,0.1271023,0.00008380872,,0.00114400498569012,,0.364565014839172,,,,,,,,,,26.47505,-0.03498673,25,0,26.52576,0.1140857
51,2021/03/28 12:00:48,3700.0417,100,1,2,0,0,0,1.500465,3.299239,4.950392646135,0.04149905,0.0000273694,0.133962,0.00008380872,,0.00103209004737437,,0.382255494594574,2.60565495491028,,,,,,,,,26.53327,-0.09405136,25,0,26.62668,0.05939543
52,2021/03/28 12:00:53,3705.0426,105.0009,1,2,0,0,0,1.500587,3.30428,4.95835961236,0.04358094,0.0000273694,0.1408359,0.00008380872,,0.00089599221246317,,0.387651413679123,,,,,,,,,,26.55126,0.1272601,25,0,26.53792,0.1051074
53,2021/03/28 12:00:58,3710.0429,110.0012,1,2,0,0,0,1.500023,3.309267,4.963976613141,0.04566315,0.0000273694,0.1477214,0.00008380872,,0.00100711395498365,,0.416766911745071,2.51282811164856,,,,,,,,,26.67887,0.08750677,25,0,26.60149,0.1431614
54,2021/03/28 12:01:03,3715.042,115.0003,1,2,0,0,0,1.500298,3.314167,4.972238121766,0.04774317,0.0000273694,0.1546098,0.00008380872,,0.00109346897806972,,0.422806590795517,,,,,,,,,,26.76957,0.009955168,25,0,26.67085,0.1278639
55,2021/03/28 12:01:08,3720.0419,120.0002,1,2,0,0,0,1.500275,3.318812,4.9791306733,0.04982461,0.0000273694,0.1615128,0.00008380872,,0.000912173301912844,,0.418420702219009,2.3330340385437,,,,,,,,,26.79998,0.08917272,25,0,26.61588,-0.03095686
56,2021/03/28 12:01:13,3725.0418,125.0001,1,2,0,0,0,1.500298,3.323494,4.986231401212,0.05190513,0.0000273694,0.1684224,0.00008380872,,0.000992843764834106,,0.444680988788605,,,,,,,,,,26.81306,0.1392508,25,0,26.55067,0.07700562
57,2021/03/28 12:01:18,3730.042,130.0003,1,2,0,0,0,1.500275,3.327785,4.992592640875,0.05398631,0.0000273694,0.1753435,0.00008380872,,0.00127406104002148,,0.46481728553772,2.17093801498413,,,,,,,,,26.79591,0.02485514,25,0,26.65451,0.1249808
58,2021/03/28 12:01:23,3735.0427,135.001,1,2,0,0,0,1.500137,3.332054,4.998537491398,0.05606708,0.0000273694,0.1822724,0.00008380872,,0.000842650886625052,,0.463369697332382,,,,,,,,,,26.63132,0.1172596,25,0,26.5468,0.02831995
59,2021/03/28 12:01:28,3740.0421,140.0004,1,2,0,0,0,1.49987,3.336396,5.00416026852,0.05814753,0.0000273694,0.1892091,0.00008380872,,0.000801805523224175,,0.500072002410889,2.08305406570435,,,,,,,,,26.63374,0.07506549,25,0,26.6204,0.1529622
60,2021/03/28 12:01:33,3745.042,145.0003,1,2,0,0,0,1.500214,3.340628,5.011656894392,0.06022824,0.0000273694,0.1961552,0.00008380872,,0.000807859003543854,,0.507616817951202,,,,,,,,,,26.48621,-0.1189697,25,0,26.55827,0.01444936
61,2021/03/28 12:01:38,3750.0419,150.0002,1,2,0,0,0,1.500252,3.344197,5.017138237644,0.06230879,0.0000273694,0.2031092,0.00008380872,,0.000736479589249939,,,,,,,,,,,,26.44786,0.03895879,25,0,26.48433,0.1057404
62,2021/03/28 12:01:43,3755.0418,155.0001,1,2,0,0,0,1.500336,3.34847,5.02383008592,0.06438941,0.0000273694,0.2100717,0.00008380872,,0.000844259513542056,,0.510442614555359,1.94148397445679,,,,,,,,,26.4042,-0.1029611,25,0,26.44069,0.05497396
63,2021/03/28 12:01:48,3760.0419,160.0002,1,2,0,0,0,1.500328,3.352227,5.029440030456,0.06647078,0.0000273694,0.2170447,0.00008380872,,0.000669732806272805,,0.530554175376892,,,,,,,,,,26.39609,-0.09942651,25,0,26.38274,-0.07274449
64,2021/03/28 12:01:53,3765.0422,165.0005,1,2,0,0,0,1.500412,3.355919,5.035261138628,0.06855205,0.0000273694,0.2240252,0.00008380872,,0.000942752114497125,,0.554808616638184,1.83621799945831,,,,,,,,,26.38865,-0.07528663,25,0,26.24001,0.05591869
65,2021/03/28 12:01:58,3770.0422,170.0005,1,2,0,0,0,1.50029,3.359328,5.03996620512,0.07063282,0.0000273694,0.2310116,0.00008380872,,0.000630480295512825,,,,,,,,,,,,26.35806,-0.1365799,25,0,26.20228,-0.0654459
66,2021/03/28 12:02:03,3775.043,175.0013,1,2,0,0,0,1.500175,3.362868,5.0448905019,0.07271437,0.0000273694,0.238008,0.00008380872,,0.000645621272269636,,0.58483350276947,,,,,,,,,,26.45077,-0.03185272,25,0,26.23093,-0.118624
67,2021/03/28 12:02:08,3780.042,180.0003,1,2,0,0,0,1.500122,3.366536,5.050214717392,0.07479379,0.0000273694,0.2450045,0.00008380872,,0.000733579392544925,,0.600751876831055,1.67033004760742,,,,,,,,,26.4393,-0.1032513,25,0,26.10547,-0.009859204
68,2021/03/28 12:02:13,3785.0419,185.0002,1,2,0,0,0,1.499962,3.369656,5.054355953072,0.07687488,0.0000273694,0.2520137,0.00008380872,,0.000733872002456337,,0.601044714450836,,,,,,,,,,26.50579,-0.1029384,25,0,26.12928,-0.136385
69,2021/03/28 12:02:18,3790.042,190.0003,1,2,0,0,0,1.500374,3.37296,5.06070148704,0.07895635,0.0000273694,0.2590309,0.00008380872,,0.000582411419600248,,,,,,,,,,,,26.48864,0.01117229,25,0,26.14773,-0.09786487
70,2021/03/28 12:02:23,3795.042,195.0003,1,2,0,0,0,1.5,3.376173,5.0642595,0.08103683,0.0000273694,0.2660516,0.00008380872,,0.000727467588149011,,0.641253888607025,1.57381701469421,,,,,,,,,26.40405,-0.07550299,25,0,26.14144,0.03569186
71,2021/03/28 12:02:28,3800.0429,200.0012,1,2,0,0,0,1.499962,3.379085,5.06849909477,0.08311811,0.0000273694,0.2730815,0.00008380872,,0.000530514516867697,,,,,,,,,,,,26.40514,-0.1311696,25,0,26.20664,-0.04891813
72,2021/03/28 12:02:33,3805.043,205.0013,1,2,0,0,0,1.500084,3.382045,5.07335159178,0.08519923,0.0000273694,0.2801172,0.00008380872,,0.000663997489027679,,0.666702687740326,,,,,,,,,,26.45225,-0.05389214,25,0,26.26089,-0.08950353
73,2021/03/28 12:02:38,3810.043,210.0013,1,2,0,0,0,1.500061,3.385197,5.078001997017,0.08727963,0.0000273694,0.2871566,0.00008380872,,0.000574037025216967,,0.700119078159332,,,,,,,,,,26.46921,-0.1093531,25,0,26.18527,0.01738489
74,2021/03/28 12:02:43,3815.0431,215.0014,1,2,0,0,0,1.500076,3.388167,5.082508000692,0.08936034,0.0000273694,0.2942032,0.00008380872,,0.000574840523768216,,,1.44710803031921,,,,,,,,,26.49364,-0.1134032,25,0,26.13137,-0.111264
75,2021/03/28 12:02:48,3820.0419,220.0002,1,2,0,0,0,1.499855,3.390735,5.085610843425,0.09144019,0.0000273694,0.3012527,0.00008380872,,0.000597467122133821,,0.739032387733459,,,,,,,,,,26.49268,-0.007234812,25,0,26.14465,-0.109598
76,2021/03/28 12:02:53,3825.0428,225.0011,1,2,0,0,0,1.500336,3.393345,5.09115766392,0.09352102,0.0000273694,0.3083112,0.00008380872,,0.000456822686828673,,,,,,,,,,,,26.44269,-0.1061511,25,0,26.18723,0.03616214
77,2021/03/28 12:02:58,3830.0429,230.0012,1,2,0,0,0,1.499794,3.39611,5.09346540134,0.09560124,0.0000273694,0.3153732,0.00008380872,,0.000507913413457572,,0.766659915447235,1.32459902763367,,,,,,,,,26.40889,-0.1551467,25,0,26.26025,-0.02619088
78,2021/03/28 12:03:03,3835.043,235.0013,1,2,0,0,0,1.50029,3.398636,5.09893960444,0.09768188,0.0000273694,0.322442,0.00008380872,,0.000405075203161687,,,,,,,,,,,,26.5325,-0.0907582,25,0,26.45509,-0.03073156
79,2021/03/28 12:03:08,3840.0423,240.0006,1,2,0,0,0,1.499962,3.401081,5.101492258922,0.09976191,0.0000273694,0.3295139,0.00008380872,,0.000461584306322038,,0.822761416435242,,,,,,,,,,26.54558,0.01206458,25,0,26.49665,0.1144105
80,2021/03/28 12:03:13,3845.0429,245.0012,1,2,0,0,0,1.50016,3.403599,5.10594307584,0.1018426,0.0000273694,0.3365932,0.00008380872,,0.000456391891930252,,,,,,,,,,,,26.60964,-0.05301416,25,0,26.55359,0.124957
81,2021/03/28 12:03:18,3850.0429,250.0012,1,2,0,0,0,1.500175,3.405905,5.109453533375,0.1039234,0.0000273694,0.3436777,0.00008380872,,0.000521926674991846,,0.835584998130798,1.18308305740356,,,,,,,,,26.65994,-0.0810504,25,0,26.57543,0.03456771
82,2021/03/28 12:03:23,3855.042,255.0003,1,2,0,0,0,1.499969,3.408221,5.112225845149,0.1060044,0.0000273694,0.3507677,0.00008380872,,0.000436553003964946,,,,,,,,,,,,26.73964,0.0978601,25,0,26.61957,0.08683443
83,2021/03/28 12:03:28,3860.0428,260.0011,1,2,0,0,0,1.500122,3.41025,5.1157910505,0.1080853,0.0000273694,0.357862,0.00008380872,,0.000450117309810594,,0.947373628616333,,,,,,,,,,26.64118,-0.05108714,25,0,26.5709,0.1068437
84,2021/03/28 12:03:33,3865.0422,265.0005,1,2,0,0,0,1.500221,3.412323,5.119238623383,0.1101653,0.0000273694,0.3649577,0.00008380872,,0.000412483204854652,,,,,,,,,,,,26.52279,-0.1271814,25,0,26.39554,-0.08942068
85,2021/03/28 12:03:38,3870.043,270.0013,1,2,0,0,0,1.500237,3.41461,5.12272426257,0.112246,0.0000273694,0.3720601,0.00008380872,,0.000447929196525365,,,,,,,,,,,,26.6014,-0.06763816,25,0,26.31754,0.07243335
86,2021/03/28 12:03:43,3875.0422,275.0005,1,2,0,0,0,1.500427,3.416451,5.126135324577,0.1143269,0.0000273694,0.3791673,0.00008380872,,0.000437074690125883,,0.98865020275116,1.01115500926971,,,,,,,,,26.76213,-0.07870376,25,0,26.23628,-0.1321661
87,2021/03/28 12:03:48,3880.043,280.0013,1,2,0,0,0,1.500137,3.418313,5.127937808881,0.116408,0.0000273694,0.3862793,0.00008380872,,0.000509000499732792,,,,,,,,,,,,26.94608,0.1156962,25,0,26.29226,-0.01993716
88,2021/03/28 12:03:53,3885.0421,285.0004,1,2,0,0,0,1.500076,3.420188,5.130541934288,0.1184887,0.0000273694,0.3933935,0.00008380872,,0.000399328302592039,,1.10005903244019,,,,,,,,,,27.02321,0.01086593,25,0,26.52611,-0.10481
89,2021/03/28 12:03:58,3890.043,290.0013,1,2,0,0,0,1.500221,3.422087,5.133886781227,0.1205693,0.0000273694,0.4005115,0.00008380872,,0.000301114312605932,,,,,,,,,,,,26.94483,0.1156074,25,0,26.65406,0.09342551
90,2021/03/28 12:04:03,3895.0422,295.0005,1,2,0,0,0,1.500183,3.423749,5.136250046067,0.1226495,0.0000273694,0.4076318,0.00008380872,,0.000360539590474218,,,,,,,,,,,,26.82536,-0.07424891,25,0,26.68396,0.06136239
91,2021/03/28 12:04:08,3900.0428,300.0011,1,2,0,0,0,1.500237,3.425331,5.138808303447,0.1247303,0.0000273694,0.4147578,0.00008380872,,0.000357676501153037,,1.1919150352478,,,,,,,,,,26.63406,0.04161417,25,0,26.49261,0.1217437
92,2021/03/28 12:04:13,3905.0422,305.0005,1,2,0,0,0,1.499855,3.427062,5.14009607601,0.1268109,0.0000273694,0.4218862,0.00008380872,,0.000372846989193931,,,0.861068904399872,,,,,,,,,26.61464,-0.1171684,25,0,26.33079,-0.02159894
93,2021/03/28 12:04:18,3910.0424,310.0007,1,2,0,0,0,1.499893,3.42863,5.14257813659,0.1288915,0.0000273694,0.4290186,0.00008380872,,0.000482871109852567,,,,,,,,,,,,26.63003,-0.05386293,25,0,26.36042,-0.0716877
94,2021/03/28 12:04:23,3915.0423,315.0006,1,2,0,0,0,1.499603,3.430083,5.143762757049,0.1309727,0.0000273694,0.4361558,0.00008380872,,0.000295710487989709,,1.24655401706696,,,,,,,,,,26.62159,-0.09117067,25,0,26.24517,0.03998578
95,2021/03/28 12:04:28,3920.0423,320.0006,1,2,0,0,0,1.500374,3.431583,5.148657912042,0.1330537,0.0000273694,0.4432957,0.00008380872,,0.00032032051240094,,,,,,,,,,,,26.78233,-0.08390367,25,0,26.19239,-0.1418352
96,2021/03/28 12:04:33,3925.042,325.0003,1,2,0,0,0,1.500107,3.433292,5.150305362244,0.1351339,0.0000273694,0.4504358,0.00008380872,,0.000393114110920578,,,,,,,,,,,,26.97552,0.111804,25,0,26.28613,-0.01269996
97,2021/03/28 12:04:38,3930.0421,330.0004,1,2,0,0,0,1.500038,3.434692,5.152168518296,0.1372153,0.0000273694,0.4575833,0.00008380872,,0.000270452001132071,,,,,,,,,,,,27.02206,-0.009704828,25,0,26.31138,-0.103153
98,2021/03/28 12:04:43,3935.0423,335.0006,1,2,0,0,0,1.500099,3.43595,5.15426515905,0.139296,0.0000273694,0.4647311,0.00008380872,,0.000259007210843265,,1.45267295837402,0.732786118984222,,,,,,,,,27.07119,0.1045603,25,0,26.37482,-0.05996227
99,2021/03/28 12:04:48,3940.0423,340.0006,1,2,0,0,0,1.500214,3.437362,5.156778595468,0.1413759,0.0000273694,0.4718795,0.00008380872,,0.000287539995042607,,,,,,,,,,,,26.90296,0.08216739,25,0,26.19923,-0.01567006
100,2021/03/28 12:04:53,3945.0423,345.0006,1,2,0,0,0,1.499931,3.438814,5.157983721834,0.143457,0.0000273694,0.4790342,0.00008380872,,0.000309380295220762,,,,,,,,,,,,26.85253,-0.09079516,25,0,26.15585,-0.07305622
101,2021/03/28 12:04:58,3950.0432,350.0015,1,2,0,0,0,1.499908,3.440132,5.159881507856,0.1455379,0.0000273694,0.4861916,0.00008380872,,0.000225780298933387,,1.49664998054504,,,,,,,,,,26.83119,-0.03100991,25,0,26.18434,-0.1244897
102,2021/03/28 12:05:03,3955.0431,355.0014,1,2,0,0,0,1.500175,3.441468,5.1628042569,0.1476188,0.0000273694,0.4933513,0.00008380872,,0.000293216697173193,,,,,,,,,,,,26.88191,0.08543611,25,0,26.15678,-0.06358802
103,2021/03/28 12:05:08,3960.0421,360.0004,1,2,0,0,0,1.499969,3.442663,5.163887777447,0.1496996,0.0000273694,0.5005136,0.00008380872,,0.000285243499092758,,,,,,,,,,,,26.93964,-0.09346247,25,0,26.22172,-0.102427
104,2021/03/28 12:05:13,3965.0422,365.0005,1,2,0,0,0,1.500336,3.444147,5.167377733392,0.1517808,0.0000273694,0.5076801,0.00008380872,,0.000261139386566356,,,,,,,,,,,,26.9883,0.03708124,25,0,26.21348,-0.1230663
105,2021/03/28 12:05:18,3970.0422,370.0005,1,2,0,0,0,1.499718,3.445205,5.16683595219,0.1538616,0.0000273694,0.5148476,0.00008380872,,0.000312681891955435,,1.59771704673767,,,,,,,,,,27.10526,0.0961107,25,0,26.45878,0.07620692
