Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,MetaCode_MV_UD9,MetaCode_MV_UD10,MetaCode_MV_UD11,MetaCode_MV_UD12,MetaCode_MV_UD13,MetaCode_MV_UD14,MetaCode_MV_UD15,MetaCode_MV_UD16,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
11,2021/06/20 10:41:05,3300.0006,3300.0006,1,1,0,0,0,0,0,3.187849,0,0,0,0,0,,-0.00000857471513882047,,0,0,,,,,,,,,,,,,,,,,34.94573,0.08248687,35,0,35.14162,0.0737083
12,2021/06/20 10:46:05,3600.0003,3600.0003,1,1,0,0,0,0,0,3.188266,0,0,0,0,0,,-0.0000191248491319129,,0,0,,,,,,,,,,,,,,,,,34.65498,-0.04222751,35,0,34.92094,-0.1055646
13,2021/06/20 10:46:05,3600.0017,3600.0017,1,1,0,0,0,0,0,3.188266,0,0,0,0,0,,-0.0000191248491319129,0,0,0,,,,,,,,,,,,,,,,,34.65498,-0.04222751,35,0,34.92094,-0.1055646
14,2021/06/20 10:46:15,3610.0413,10.0005,1,2,0,0,0,0,1.50061,3.248079,4.87409982819,0.004042706,0.00001449946,0.01308207,0.00004622714,,0.00208877702243626,,0.167239099740982,6.56945419311523,,,,,,,,,,,,,,,,,35.00867,0.1106369,35,0,35.25347,0.05812049
15,2021/06/20 10:46:25,3620.0413,20.0005,1,2,0,0,0,0,1.500938,3.267638,4.904522044444,0.008207393,0.00001449946,0.02665151,0.00004622714,,0.00184951396659017,,0.222576901316643,4.9404091835022,,,,,,,,,,,,,,,,,34.95432,0.09724498,35,0,35.47172,0.123409
16,2021/06/20 10:46:35,3630.0414,30.0006,1,2,0,0,0,0,1.500519,3.28409,4.92783944271,0.01237394,0.00001449946,0.04030133,0.00004622714,,0.00160422897897661,,0.252214908599854,4.04676389694214,,,,,,,,,,,,,,,,,34.7524,-0.0791657,35,0,35.3469,-0.05724072
17,2021/06/20 10:46:45,3640.0416,40.0008,1,2,0,0,0,0,1.500633,3.298886,4.950417194838,0.0165388,0.00001449946,0.0540105,0.00004622714,,0.00128509302157909,,0.279890894889832,3.6999499797821,,,,,,,,,,,,,,,,,34.61447,-0.110203,35,0,34.93641,-0.1821995
18,2021/06/20 10:46:55,3650.0417,50.0009,1,2,0,0,0,0,1.500671,3.312134,4.970423441914,0.02070413,0.00001449946,0.0677795,0.00004622714,,0.0013164069969207,,0.309849709272385,3.23458099365234,,,,,,,,,,,,,,,,,34.97292,0.1155436,35,0,35.45536,0.1176655
19,2021/06/20 10:47:05,3660.041,60.0002,1,2,0,0,0,0,1.500557,3.324316,4.988325644012,0.02486941,0.00001449946,0.08160158,0.00004622714,,0.00142526894342154,,0.342857211828232,3.00549292564392,,,,,,,,,,,,,,,,,34.52447,-0.04286647,35,0,34.94442,-0.1127422
20,2021/06/20 10:47:15,3670.0418,70.001,1,2,0,0,0,0,1.500328,3.335555,5.00442656204,0.02903504,0.00001449946,0.09547399,0.00004622714,,0.000889926392119378,,0.373053103685379,2.80241394042969,,,,,,,,,,,,,,,,,34.86672,0.1002049,35,0,35.16054,0.01708627
21,2021/06/20 10:47:25,3680.042,80.0012,1,2,0,0,0,0,1.500443,3.346314,5.020953417102,0.03320054,0.00001449946,0.1093916,0.00004622714,,0.000907008303329349,,0.392406791448593,2.68620610237122,,,,,,,,,,,,,,,,,34.7646,0.1008976,35,0,35.43597,0.1445103
22,2021/06/20 10:47:35,3690.0413,90.0005,1,2,0,0,0,0,1.500381,3.356314,5.035749755634,0.03736581,0.00001449946,0.1233511,0.00004622714,,0.000799883622676134,,0.429215788841248,2.5055980682373,,,,,,,,,,,,,,,,,34.63826,0.04649758,35,0,34.93221,-0.03441453
23,2021/06/20 10:47:45,3700.0413,100.0005,1,2,0,0,0,0,1.500328,3.365396,5.049197849888,0.04153034,0.00001449946,0.1373479,0.00004622714,,0.000917293189559132,,0.473908692598343,2.36355900764465,,,,,,,,,,,,,,,,,34.70646,-0.01940131,35,0,35.46177,0.1073134
24,2021/06/20 10:47:55,3710.0423,110.0015,1,2,0,0,0,0,1.500443,3.374341,5.063006333063,0.04569497,0.00001449946,0.1513826,0.00004622714,,0.000764855882152915,,0.450421392917633,2.16376090049744,,,,,,,,,,,,,,,,,34.92574,0.05716085,35,0,35.44318,-0.02157569
25,2021/06/20 10:48:05,3720.0424,120.0016,1,2,0,0,0,0,1.500366,3.38212,5.07441785592,0.04985891,0.00001449946,0.1654502,0.00004622714,,0.000754115171730518,,0.47712978720665,2.04317307472229,,,,,,,,,,,,,,,,,34.47334,-0.0470686,35,0,34.94929,-0.1060116
26,2021/06/20 10:48:15,3730.0418,130.001,1,2,0,0,0,0,1.500694,3.390341,5.087864396654,0.05402431,0.00001449946,0.179556,0.00004622714,,0.000605342618655413,,0.546714782714844,1.88064098358154,,,,,,,,,,,,,,,,,34.96962,0.1781356,35,0,35.50797,-0.1235771
27,2021/06/20 10:48:25,3740.041,140.0002,1,2,0,0,0,0,1.500443,3.397563,5.097849620409,0.05818845,0.00001449946,0.1936891,0.00004622714,,0.000825530791189522,,0.540651977062225,,,,,,,,,,,,,,,,,,34.44894,-0.09897232,35,0,35.31106,-0.07481694
28,2021/06/20 10:48:35,3750.0419,150.0011,1,2,0,0,0,0,1.500076,3.404784,5.107434763584,0.0623535,0.00001449946,0.2078549,0.00004622714,,0.00059121660888195,,0.626512289047241,1.7861260175705,,,,,,,,,,,,,,,,,34.83356,-0.01674652,35,0,35.28582,0.03068924
29,2021/06/20 10:48:45,3760.0421,160.0013,1,2,0,0,0,0,1.500885,3.410816,5.11924257216,0.0665182,0.00001449946,0.2220473,0.00004622714,,0.000497708271723241,,0.65407007932663,1.58802998065948,,,,,,,,,,,,,,,,,34.68264,-0.0341773,35,0,35.06242,0.04275799
30,2021/06/20 10:48:55,3770.0413,170.0005,1,2,0,0,0,0,1.500595,3.417279,5.127951781005,0.07068228,0.00001449946,0.2362638,0.00004622714,,0.000687794177792966,,0.656233727931976,,,,,,,,,,,,,,,,,,34.57686,-0.1300609,35,0,35.26666,-0.09058833
31,2021/06/20 10:49:05,3780.0414,180.0006,1,2,0,0,0,0,1.500458,3.422588,5.135449545304,0.07484665,0.00001449946,0.2505056,0.00004622714,,0.00056532328017056,,0.717885673046112,1.45078897476196,,,,,,,,,,,,,,,,,34.55642,-0.02709746,35,0,35.24477,0.0769341
32,2021/06/20 10:49:15,3790.0416,190.0008,1,2,0,0,0,0,1.500427,3.427746,5.143082647542,0.07901173,0.00001449946,0.2647724,0.00004622714,,0.000494847190566361,,0.766235888004303,,,,,,,,,,,,,,,,,,34.57799,0.07040858,35,0,35.1797,0.1337051
33,2021/06/20 10:49:25,3800.0416,200.0008,1,2,0,0,0,0,1.499893,3.432761,5.148774194573,0.08317654,0.00001449946,0.2790593,0.00004622714,,0.000430428306572139,,0.814857423305511,1.25461399555206,,,,,,,,,,,,,,,,,34.58657,-0.1271045,35,0,35.17429,-0.09857059
34,2021/06/20 10:49:35,3810.0419,210.0011,1,2,0,0,0,0,1.500008,3.437186,5.155806497488,0.08734056,0.00001449946,0.2933629,0.00004622714,,0.000384330312954262,,0.881709396839142,,,,,,,,,,,,,,,,,,34.55858,-0.1467824,35,0,34.90854,-0.1466763
35,2021/06/20 10:49:45,3820.0419,220.0011,1,2,0,0,0,0,1.500153,3.441613,5.162946066789,0.09150505,0.00001449946,0.3076861,0.00004622714,,0.000420673808548599,,0.957956314086914,1.09667301177979,,,,,,,,,,,,,,,,,34.54391,-0.08849621,35,0,34.94285,-0.01416326
36,2021/06/20 10:49:55,3830.0419,230.0011,1,2,0,0,0,0,1.500748,3.44537,5.17063213676,0.09566997,0.00001449946,0.3220281,0.00004622714,,0.000411127199186012,,1.00820100307465,,,,,,,,,,,,,,,,,,34.58106,-0.1119006,35,0,35.05691,-0.1117897
37,2021/06/20 10:50:05,3840.0421,240.0013,1,2,0,0,0,0,1.500313,3.449383,5.175154156879,0.09983487,0.00001449946,0.3363864,0.00004622714,,0.000434361310908571,,,,,,,,,,,,,,,,,,,,35.05626,0.137074,35,0,35.54562,0.1762724
38,2021/06/20 10:50:15,3850.0414,250.0006,1,2,0,0,0,0,1.500008,3.453023,5.179562124184,0.1039997,0.00001449946,0.3507598,0.00004622714,,0.000368722510756925,,1.0871319770813,0.960934817790985,,,,,,,,,,,,,,,,,34.65162,-0.1057887,35,0,34.91059,-0.08602738
39,2021/06/20 10:50:25,3860.0415,260.0007,1,2,0,0,0,0,1.500252,3.456543,5.185685548836,0.1081638,0.00001449946,0.3651456,0.00004622714,,0.000328060297761112,,1.15544497966766,,,,,,,,,,,,,,,,,,34.97538,-0.03059864,35,0,35.47879,0.03494143
40,2021/06/20 10:50:35,3870.0423,270.0015,1,2,0,0,0,0,1.500305,3.459976,5.19101929268,0.1123288,0.00001449946,0.3795492,0.00004622714,,0.000438821210991591,,1.15733098983765,0.845655024051666,,,,,,,,,,,,,,,,,34.69767,-0.1066315,35,0,34.94262,-0.154624
41,2021/06/20 10:50:45,3880.0417,280.0009,1,2,0,0,0,0,1.500023,3.463424,5.195215658752,0.1164931,0.00001449946,0.3939644,0.00004622714,,0.000480835209600627,,,,,,,,,,,,,,,,,,,,35.15326,0.06930113,35,0,35.42593,0.03430128
42,2021/06/20 10:50:55,3890.0419,290.0011,1,2,0,0,0,0,1.500427,3.466356,5.201014134012,0.1206575,0.00001449946,0.4083938,0.00004622714,,0.000254669110290706,,1.28660595417023,,,,,,,,,,,,,,,,,,34.65839,-0.09088278,35,0,34.98032,-0.1345038
43,2021/06/20 10:51:05,3900.0421,300.0013,1,2,0,0,0,0,1.500198,3.469688,5.205218998224,0.1248231,0.00001449946,0.4228408,0.00004622714,,0.00034840201260522,,1.27462494373322,0.78776341676712,,,,,,,,,,,,,,,,,35.1414,0.1336265,35,0,35.53286,0.1772261
44,2021/06/20 10:51:15,3910.0414,310.0006,1,2,0,0,0,0,1.500038,3.472759,5.209270464842,0.1289873,0.00001449946,0.4372959,0.00004622714,,0.000664361810777336,,,,,,,,,,,,,,,,,,,,34.96355,-0.1212323,35,0,34.96361,-0.1473689
45,2021/06/20 10:51:25,3920.0423,320.0015,1,2,0,0,0,0,1.5,3.475873,5.2138095,0.133152,0.00001449946,0.4517654,0.00004622714,,0.000266595889115706,,1.41940903663635,,,,,,,,,,,,,,,,,,34.75884,-0.1136708,35,0,35.11565,-0.1048517
46,2021/06/20 10:51:35,3930.0422,330.0014,1,2,0,0,0,0,1.500061,3.478499,5.217960688439,0.1373163,0.00001449946,0.4662453,0.00004622714,,0.000246354989940301,,,,,,,,,,,,,,,,,,,,35.22622,0.1622391,35,0,35.45693,0.1796532
47,2021/06/20 10:51:45,3940.0416,340.0008,1,2,0,0,0,0,1.500114,3.480774,5.221557808236,0.1414803,0.00001449946,0.480735,0.00004622714,,0.000218412693357095,,1.5274909734726,0.691830813884735,,,,,,,,,,,,,,,,,35.12314,-0.03534794,35,0,35.15816,-0.09869695
48,2021/06/20 10:51:55,3950.0409,350.0001,1,2,0,0,0,0,1.500351,3.483404,5.226328674804,0.145644,0.00001449946,0.4952339,0.00004622714,,0.000298984086839482,,,,,,,,,,,,,,,,,,,,34.75061,-0.08099556,35,0,34.98154,-0.1311934
49,2021/06/20 10:52:05,3960.041,360.0002,1,2,0,0,0,0,1.500343,3.485051,5.228771872493,0.149809,0.00001449946,0.5097458,0.00004622714,,0.00017183690215461,,1.84033000469208,,,,,,,,,,,,,,,,,,35.29702,0.1494551,35,0,35.38794,0.1231968
50,2021/06/20 10:52:15,3970.0411,370.0003,1,2,0,0,0,0,1.500214,3.487079,5.231364734906,0.1539743,0.00001449946,0.5242665,0.00004622714,,0.000234262304729782,,,,,,,,,,,,,,,,,,,,34.80622,-0.06991386,35,0,35.00916,0.01747131
51,2021/06/20 10:52:25,3980.042,380.0012,1,2,0,0,0,0,1.500328,3.488429,5.233787704712,0.1581392,0.00001449946,0.5387927,0.00004622714,,0.000190701801329851,,,,,,,,,,,,,,,,,,,,35.35238,0.05651832,35,0,35.51317,0.09800673
52,2021/06/20 10:52:35,3990.0421,390.0013,1,2,0,0,0,0,1.500648,3.490249,5.237635181352,0.1623034,0.00001449946,0.5533229,0.00004622714,,0.000168407001183368,,2.56802010536194,0.456756204366684,,,,,,,,,,,,,,,,,34.92515,-0.1024377,35,0,34.90424,-0.1745164
53,2021/06/20 10:52:45,4000.0415,400.0007,1,2,0,0,0,0,1.500633,3.491349,5.239233523917,0.1664674,0.00001449946,0.5678583,0.00004622714,,0.000117606701678596,,,,,,,,,,,,,,,,,,,,35.12381,0.09556532,35,0,35.41048,0.1414418
54,2021/06/20 10:52:55,4010.0416,410.0008,1,2,0,0,0,0,1.499847,3.492801,5.238667101447,0.170631,0.00001449946,0.582398,0.00004622714,,0.00013016389857512,,,,,,,,,,,,,,,,,,,,35.39431,0.07437587,35,0,35.4992,0.1333547
55,2021/06/20 10:53:05,4020.0409,420.0001,1,2,0,0,0,0,1.500313,3.493815,5.241816064095,0.1747958,0.00001449946,0.596947,0.00004622714,,0.00012284739932511,,,,,,,,,,,,,,,,,,,,35.33319,0.1002181,35,0,35.29132,-0.0002884865
56,2021/06/20 10:53:15,4030.0418,430.001,1,2,0,0,0,0,1.500137,3.495532,5.243776887884,0.1789608,0.00001449946,0.6115026,0.00004622714,,0.000189255399163812,,3.0473370552063,,,,,,,,,,,,,,,,,,34.99364,-0.112952,35,0,34.90977,-0.1020038
57,2021/06/20 10:53:25,4040.0411,440.0003,1,2,0,0,0,0,1.500191,3.496572,5.245525845252,0.1831248,0.00001449946,0.6260598,0.00004622714,,0.000128775995108299,,,,,,,,,,,,,,,,,,,,34.95135,-0.134058,35,0,35.09828,-0.1187336
58,2021/06/20 10:53:35,4050.0419,450.0011,1,2,0,0,0,0,1.500122,3.498116,5.247600770152,0.1872895,0.00001449946,0.6406249,0.00004622714,,0.000151922795339487,,,,,,,,,,,,,,,,,,,,35.27007,0.06871223,35,0,35.45884,0.1888883
59,2021/06/20 10:53:45,4060.0413,460.0005,1,2,0,0,0,0,1.500175,3.499223,5.249446864025,0.1914547,0.00001449946,0.6551973,0.00004622714,,0.000101919998996891,,,,,,,,,,,,,,,,,,,,35.22406,0.1053298,35,0,35.40586,0.1119161
60,2021/06/20 10:53:55,4070.0422,470.0014,1,2,0,0,0,0,1.500366,3.500804,5.252487294264,0.1956191,0.00001449946,0.6697724,0.00004622714,,0.00013945710088592,,3.24973297119141,0.318144112825394,,,,,,,,,,,,,,,,,35.36906,0.01804113,35,0,35.43203,0.09449601
61,2021/06/20 10:54:05,4080.0423,480.0015,1,2,0,0,0,0,1.50029,3.501734,5.25361650286,0.1997835,0.00001449946,0.684353,0.00004622714,,0.000159809598699212,,,,,,,,,,,,,,,,,,,,35.23533,0.01994252,35,0,35.12354,-0.07399797
62,2021/06/20 10:54:15,4090.0409,490.0001,1,2,0,0,0,0,1.500229,3.503196,5.255596231884,0.2039472,0.00001449946,0.6989365,0.00004622714,,0.0000897322825039737,,,,,,,,,,,,,,,,,,,,35.11253,-0.1178098,35,0,34.98672,-0.1156008
63,2021/06/20 10:54:25,4100.0418,500.001,1,2,0,0,0,0,1.500046,3.504431,5.256807703826,0.2081124,0.00001449946,0.7135309,0.00004622714,,0.000159451097715646,,,,,,,,,,,,,,,,,,,,34.9474,-0.08769155,35,0,35.00342,-0.1269948
64,2021/06/20 10:54:35,4110.0412,510.0004,1,2,0,0,0,0,1.500427,3.505721,5.260078442867,0.212276,0.00001449946,0.728125,0.00004622714,,0.000105390397948213,,3.21382188796997,,,,,,,,,,,,,,,,,,35.14017,-0.01691818,35,0,35.27307,0.07266283
65,2021/06/20 10:54:45,4120.0412,520.0004,1,2,0,0,0,0,1.499565,3.507338,5.25948130797,0.21644,0.00001449946,0.7427263,0.00004622714,,0.000150195701280609,,,,,,,,,,,,,,,,,,,,35.44197,0.09053707,35,0,35.53286,0.03154516
66,2021/06/20 10:54:55,4130.0421,530.0013,1,2,0,0,0,0,1.500542,3.50866,5.26489169372,0.2206044,0.00001449946,0.7573348,0.00004622714,,0.000108422900666483,,,,,,,,,,,,,,,,,,,,35.16025,0.05178332,35,0,34.95752,-0.03126025
67,2021/06/20 10:55:05,4140.0422,540.0014,1,2,0,0,0,0,1.500008,3.510081,5.265149580648,0.2247675,0.00001449946,0.7719442,0.00004622714,,0.000135946902446449,,3.06053495407104,0.318239897489548,,,,,,,,,,,,,,,,,35.05748,-0.09356022,35,0,35.16243,0.002566576
68,2021/06/20 10:55:15,4150.0415,550.0007,1,2,0,0,0,0,1.499969,3.511231,5.266737651839,0.2289321,0.00001449946,0.7865641,0.00004622714,,0.000150940293679014,,,,,,,,,,,,,,,,,,,,35.26263,0.1286161,35,0,35.3256,0.1286709
69,2021/06/20 10:55:25,4160.0416,560.0008,1,2,0,0,0,0,1.499908,3.512702,5.268729831416,0.2330966,0.00001449946,0.8011895,0.00004622714,,0.000118302697956096,,,,,,,,,,,,,,,,,,,,35.48876,0.08024335,35,0,35.46087,0.1348746
70,2021/06/20 10:55:35,4170.041,570.0002,1,2,0,0,0,0,1.500465,3.513741,5.272245389565,0.2372608,0.00001449946,0.8158193,0.00004622714,,0.000141832293593325,,,,,,,,,,,,,,,,,,,,35.49393,0.1198494,35,0,35.35423,0.05650997
71,2021/06/20 10:55:45,4180.0419,580.0011,1,2,0,0,0,0,1.500595,3.515409,5.275205168355,0.2414252,0.00001449946,0.8304555,0.00004622714,,0.000106177401903551,,3.14943599700928,,,,,,,,,,,,,,,,,,35.4617,-0.01169562,35,0,35.28705,-0.08818746
72,2021/06/20 10:55:55,4190.0412,590.0004,1,2,0,0,0,0,1.499489,3.516489,5.272936574121,0.2455897,0.00001449946,0.8450975,0.00004622714,,0.00010272600047756,,,,,,,,,,,,,,,,,,,,35.2916,0.07439375,35,0,35.10989,-0.00207901
73,2021/06/20 10:56:05,4200.0414,600.0006,1,2,0,0,0,0,1.500328,3.518058,5.278240923024,0.2497537,0.00001449946,0.8597437,0.00004622714,,0.000101018202258274,,,,,,,,,,,,,,,,,,,,35.2402,-0.04625559,35,0,35.38006,0.03893137
74,2021/06/20 10:56:15,4210.0414,610.0006,1,2,0,0,0,0,1.500214,3.519224,5.279589113936,0.2539171,0.00001449946,0.874393,0.00004622714,,0.000161338102770969,,,,,,,,,,,,,,,,,,,,35.3606,-0.07714748,35,0,35.12998,-0.1361358
75,2021/06/20 10:56:25,4220.0416,620.0008,1,2,0,0,0,0,1.499168,3.52065,5.2780458192,0.258082,0.00001449946,0.889053,0.00004622714,,0.000116761999379378,,3.04517602920532,0.32237520813942,,,,,,,,,,,,,,,,,35.16475,-0.1269925,35,0,35.17181,-0.1117051
76,2021/06/20 10:56:35,4230.0424,630.0016,1,2,0,0,0,0,1.500114,3.522021,5.283433010394,0.2622463,0.00001449946,0.9037165,0.00004622714,,0.000133197900140658,,,,,,,,,,,,,,,,,,,,35.64617,0.1802576,35,0,35.48556,0.1387882
77,2021/06/20 10:56:45,4240.0418,640.001,1,2,0,0,0,0,1.49987,3.523273,5.28445147451,0.2664101,0.00001449946,0.9183839,0.00004622714,,0.000119816199003253,,,,,,,,,,,,,,,,,,,,35.05875,-0.06797194,35,0,35.04483,-0.009012222
78,2021/06/20 10:56:55,4250.041,650.0002,1,2,0,0,0,0,1.499893,3.524652,5.286600862236,0.2705735,0.00001449946,0.9330555,0.00004622714,,0.000129917592857964,,,,,,,,,,,,,,,,,,,,35.42892,-0.02228975,35,0,35.46392,0.06069779
79,2021/06/20 10:57:05,4260.0411,660.0003,1,2,0,0,0,0,1.499809,3.525717,5.287902088053,0.2747374,0.00001449946,0.9477342,0.00004622714,,0.000150950203533284,,3.1418309211731,,,,,,,,,,,,,,,,,,35.33533,-0.01339197,35,0,35.06273,-0.1313567
80,2021/06/20 10:57:15,4270.0413,670.0005,1,2,0,0,0,0,1.500481,3.527389,5.292780174109,0.2789009,0.00001449946,0.9624172,0.00004622714,,0.00015311139577534,,,,,,,,,,,,,,,,,,,,35.08602,-0.06103396,35,0,35.04412,0.01757383
81,2021/06/20 10:57:25,4280.0424,680.0016,1,2,0,0,0,0,1.5,3.528466,5.292699,0.2830662,0.00001449946,0.9771118,0.00004622714,,0.000150950203533284,,,,,,,,,,,,,,,,,,,,35.25418,-0.11415,35,0,35.34512,-0.0639236
82,2021/06/20 10:57:35,4290.0415,690.0007,1,2,0,0,0,0,1.500771,3.529717,5.297296911807,0.28723,0.00001449946,0.9918064,0.00004622714,,0.000123063698993064,,,0.318786293268204,,,,,,,,,,,,,,,,,35.30345,0.004761219,35,0,35.40835,0.1074398
83,2021/06/20 10:57:45,4300.0408,700,1,2,0,0,0,0,1.500343,3.531204,5.298017202972,0.2913934,0.00001449946,1.006505,0.00004622714,,0.000151334999827668,,3.18219709396362,,,,,,,,,,,,,,,,,,35.5228,0.06589413,35,0,35.47395,0.004726648
84,2021/06/20 10:57:55,4310.0417,710.0009,1,2,0,0,0,0,1.500443,3.532407,5.300175356301,0.2955582,0.00001449946,1.021215,0.00004622714,,0.000140730000566691,,,,,,,,,,,,,,,,,,,,35.27571,0.06476998,35,0,34.96112,-0.02045035
85,2021/06/20 10:58:05,4320.041,720.0002,1,2,0,0,0,0,1.499985,3.533792,5.30063499312,0.2997231,0.00001449946,1.03593,0.00004622714,,0.0001800306054065,,,,,,,,,,,,,,,,,,,,35.20581,-0.05992889,35,0,35.2548,0.0449264
86,2021/06/20 10:58:15,4330.0411,730.0003,1,2,0,0,0,0,1.499969,3.535129,5.302583911001,0.3038867,0.00001449946,1.050646,0.00004622714,,0.000122659097542055,,3.19522595405579,,,,,,,,,,,,,,,,,,35.52945,0.01099348,35,0,35.33385,-0.07205486
87,2021/06/20 10:58:25,4340.0421,740.0013,1,2,0,0,0,0,1.500153,3.5364,5.3051410692,0.3080513,0.00001449946,1.065371,0.00004622714,,0.000123194797197357,,,,,,,,,,,,,,,,,,,,35.13195,-0.004754066,35,0,34.88722,-0.09654522
88,2021/06/20 10:58:35,4350.0421,750.0013,1,2,0,0,0,0,1.500114,3.537723,5.306987800422,0.3122152,0.00001449946,1.0801,0.00004622714,,0.000105844002973754,,,,,,,,,,,,,,,,,,,,35.34899,0.04302502,35,0,35.46786,0.1653767
89,2021/06/20 10:58:45,4360.0415,760.0007,1,2,0,0,0,0,1.500275,3.538979,5.309441719225,0.3163798,0.00001449946,1.094836,0.00004622714,,0.000154673005454242,,,,,,,,,,,,,,,,,,,,35.48809,0.0260365,35,0,35.29247,-0.04826427
90,2021/06/20 10:58:55,4370.0417,770.0009,1,2,0,0,0,0,1.499771,3.540435,5.309841740385,0.3205443,0.00001449946,1.109577,0.00004622714,,0.000174214597791433,,3.13952803611755,0.314598590135574,,,,,,,,,,,,,,,,,35.22046,-0.1101375,35,0,35.28344,-0.05990982
91,2021/06/20 10:59:05,4380.0418,780.001,1,2,0,0,0,0,1.500175,3.541602,5.31302278035,0.3247083,0.00001449946,1.124321,0.00004622714,,0.000142966397106647,,,,,,,,,,,,,,,,,,,,35.43862,0.07701993,35,0,35.14511,-0.02783298
92,2021/06/20 10:59:15,4390.0418,790.001,1,2,0,0,0,0,1.500427,3.543096,5.316156901992,0.328872,0.00001449946,1.139071,0.00004622714,,0.000151798405568115,,,,,,,,,,,,,,,,,,,,35.15236,0.02364397,35,0,35.23632,0.0957191
93,2021/06/20 10:59:25,4400.0413,800.0005,1,2,0,0,0,0,1.499382,3.544584,5.314685447088,0.3330355,0.00001449946,1.153826,0.00004622714,,0.000125176593428478,,,,,,,,,,,,,,,,,,,,35.61248,0.1144421,35,0,35.4798,0.1669252
